"area";"areaBis";"areaRDB"
"7bc";"27_7_B,27_7_C";",27.7.b,27.7.c,"
"7fg";"27_7_F,27_7_G";",27.7.f,27.7.g,"
"7h-k";"27_7_H,27_7_J,27_7_K";",27.7.h,27.7.j,27.7.k,"
"8, 9, 10";"27_8,27_9,27_10";",27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.a,27.10.b,"
"7, 8, 9, 10";"27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";",27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.a,27.10.b,"
"4a, 6";"27_4_A,27_6";",27.4.a,27.6.a,27.6.a.n,27.6.a.s,27.6.b,"
"7a,7fg";"27_7_A,27_7_F,27_7_G";",27.7.a,27.7.f,27.7.g,"
"7a, 7fg";"27_7_A,27_7_F,27_7_G";",27.7.a,27.7.f,27.7.g,"
"10, 12";"27_10,27_12";",27.10,27.10.a,27.10.b,27.12,"
"6, 7b, 7j";"27_6,27_7_B,27_7_J";",27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.b,27.7.j,"
"7a, 7e-h";"27_7_A,,27_7_E,27_7_F,27_7_G,27_7_H";",27.7.a,,27.7.e,27.7.f,27.7.g,27.7.h,"
"7b, 7j";"27_7_B,27_7_J";",27.7.b,27.7.j,"
"8ab";"27_8_A,27_8_B";",27.8.a,27.8.b,"
"5a, 14";"27_5_A,27_14";",27.5.a,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"8abd";"27_8_A,27_8_B,27_8_D";",27.8.a,27.8.b,27.8.d,"
"5, 6, 7, 8, 9";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9";",27.5.a,27.5.b,27.5.b.1,27.5.b.2,27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.a,27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.9.a,27.9.b,27.9.b.1,27.9.b.2,"
"6, 7a-c, 7e-j";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J";",27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.a,27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,"
"6, 7";"27_6,27_7";",27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.a,27.7.b,27.7.c,27.7.d,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,"
"5, 12, 14 (shallow pelagic)";"27_5,27_12,27_14";",27.5.a,27.5.b,27.5.b.1,27.5.b.2,27.12,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"5, 12, 14 (deep pelagic)";"27_5,27_12,27_14";",27.5.a,27.5.b,27.5.b.1,27.5.b.2,27.12,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
